"Story","Title","Result","Date","Stability","Duration (s)"
"Manejo del carrito en SauceDemo","Cerrar sesion","PENDING","2024-10-10T23:01:52.8848768-05:00[America/Bogota]","0.0","0.01"
"Manejo del carrito en SauceDemo","Cerrar sesion","SUCCESS","2024-10-11T01:18:29.3959245-05:00[America/Bogota]","0.0","35.72"
