"Story","Title","Result","Date","Stability","Duration (s)"
"Manejo del carrito en SauceDemo","El usuario selecciona un producto","PENDING","2024-10-10T23:13:01.4586733-05:00[America/Bogota]","0.0","0.14"
"Manejo del carrito en SauceDemo","El usuario selecciona un producto","SUCCESS","2024-10-11T00:15:08.2918276-05:00[America/Bogota]","0.0","35.21"
